Address,Price,Y_Coor,X_Coor
"1002 S Barrington Ave, Los Angeles, CA",1575,34.051561,-118.463187
"1052 Tiverton Ave Unit 19, Los Angeles, CA",1700,34.060772,-118.440564
"10702 Ohio Ave Unit, Los Angeles, CA",1690,34.054052,-118.439333
"10758 Santa Monica Blvd Unit, Los Angeles, CA",1695,34.047429,-118.447831
"10809 Lindbrook Dr Unit G, Los Angeles, CA",1650,34.01922,-118.41137
"10900 Santa Monica Blvd, Los Angeles, CA",1595,34.046095,-118.452409
"10982 Roebling Ave, Los Angeles, CA",1675,34.06572,-118.447956
"11017 Strathmore Dr Unit 2, Los Angeles, CA",1495,34.078641,-118.438765
"11308 Joffre St, Los Angeles, CA",1680,34.070375,-118.465199
"11511 Rochester Ave Unit 14A, Los Angeles, CA",1450,34.048171,-118.454732
"11621 Darlington Ave, Los Angeles, CA",1280,34.032123,-118.422085
"11655 Mayfield Ave Unit 108, Los Angeles, CA",1550,34.052265,-118.46282
"11662 Sunset Blvd Unit 3, Los Angeles, CA",1600,34.064928,-118.453931
"11663 Mayfield Ave Unit 212, Los Angeles, CA",1545,34.052294,-118.462785
"11722 Mayfield Ave Unit 6, Los Angeles, CA",1295,34.051288,-118.464031
"11737 Mayfield Ave, Los Angeles, CA",1700,34.050996,-118.464394
"1255 Midvale Ave, Los Angeles, CA",1490,34.057289,-118.444936
"1275 Federal Ave, Los Angeles, CA",1698,34.048893,-118.457594
"1500 Purdue Ave, Los Angeles, CA",1700,34.04136,-118.4709
"1520 Butler Ave, Los Angeles, CA",1425,34.047532,-118.447919
"1523 Glendon Ave Unit Guest, Los Angeles, CA",1100,34.06916,-118.43907
"1533 Selby Ave, Los Angeles, CA",1495,34.049256,-118.437901
"1538 Beloit Avenue, Unit, Los Angeles, CA",1599,34.047231,-118.451944
"1601 Beloit Ave Unit 26, Los Angeles, CA",1295,34.048078,-118.448342
"1609 Beloit Ave Unit 8, Los Angeles, CA",1200,34.050935,-118.433272
"2581 S Sepulveda Blvd Unit #1, Los Angeles, CA",1395,34.033278,-118.432697
"2589 S Sepulveda Blvd, Los Angeles, CA",1495,34.054617,-118.463484
"2613 S Sepulveda Blvd, Los Angeles, CA",1495,34.033107,-118.432563
"2854 Westwood Blvd, Los Angeles, CA",1600,34.032645,-118.432194
"530 Veteran Ave Unit 14A, Los Angeles, CA",1495,34.064379,-118.45345
"655 Kelton Ave, Los Angeles, CA",1600,34.062362,-118.448156
"660 Veteran Ave Unit 106, Los Angeles, CA",1695,34.065175,-118.452813
"671 Landfair Ave Unit 4, Los Angeles, CA",1550,34.062434,-118.442754
"690 Veteran Ave Unit 0, Los Angeles, CA",1700,34.065026,-118.450751
"801 Levering Ave Unit 13, Los Angeles, CA",1400,34.063334,-118.448858
"901 Levering Ave Unit 11, Los Angeles, CA",1600,34.06483,-118.449626
"944 Tiverton Ave Unit 6, Los Angeles, CA",1700,34.057289,-118.444936
"945 Gayley Ave Unit 203, Los Angeles, CA",1560,34.064269,-118.44978
"957 Manning Ave Unit Room 1, Los Angeles, CA",980,34.054816,-118.437401
"FOUND Residences Westwood, Los Angeles, CA",1200,34.067328,-118.454741
"Hilgard House, Los Angeles, CA",1500,34.060681,-118.44318
"Linkbrook Manor, Los Angeles, CA",1700,34.057172,-118.434891
"Mysuite Wilshire Margot, Los Angeles, CA",1700,34.063324,-118.437326
